Algorithm,Topology,Graph Type,Degree,Run #,Time (s),Qubits,Maxchain Size,No Fail/Fail
Minorminer,Zephyr,Complete,125,2,239.1853901559998,1642,19,0
Minorminer,Zephyr,Complete,105,2,435.9406589330001,1103,15,0
Minorminer,Zephyr,Complete,130,0,197.2241092230006,1893,22,0
Minorminer,Zephyr,Complete,170,1,1009.7163604659995,3300,30,0
Minorminer,Zephyr,Complete,130,1,387.25732794299984,1904,22,0
Minorminer,Zephyr,Complete,130,2,269.75444195099954,1986,24,0
Minorminer,Zephyr,Complete,220,0,1038.7334358949993,0,0,1
Minorminer,Zephyr,Complete,170,2,975.8476451699999,3554,34,0
Minorminer,Zephyr,Complete,135,0,1000.8505284720004,1923,22,0
Minorminer,Zephyr,Complete,220,1,1028.274692434,0,0,1
Minorminer,Zephyr,Complete,135,1,545.9546605879996,2094,23,0
Minorminer,Zephyr,Complete,175,0,998.8672238829995,4821,50,0
Minorminer,Zephyr,Complete,135,2,183.5724788990001,2051,23,0
Minorminer,Zephyr,Complete,220,2,1043.001793421,0,0,1
Minorminer,Zephyr,Complete,175,1,1005.7314408020002,3668,35,0
Minorminer,Zephyr,Complete,140,0,883.4671339900005,2109,23,0
Minorminer,Zephyr,Complete,140,1,262.33404874999997,2853,32,0
Minorminer,Zephyr,Complete,225,0,1029.2193177279996,0,0,1
Minorminer,Zephyr,Complete,175,2,1005.0333279040005,3749,37,0
Minorminer,Zephyr,Complete,140,2,723.1497375979989,2241,25,0
Minorminer,Zephyr,Complete,145,0,527.8503048789989,2498,28,0
Minorminer,Zephyr,Complete,225,1,1046.7308669159993,0,0,1
Minorminer,Zephyr,Complete,145,1,334.2445896469999,2706,31,0
Minorminer,Zephyr,Complete,180,0,1007.212981265,4124,37,0
Minorminer,Zephyr,Complete,225,2,1047.2170361659992,0,0,1
Minorminer,Zephyr,Complete,145,2,1000.3304840639994,2232,24,0
Minorminer,Zephyr,Complete,180,1,1013.1897151409994,3907,36,0
Minorminer,Zephyr,Complete,150,0,407.5268319909992,2524,30,0
Minorminer,Zephyr,Complete,230,0,1037.8627683330014,0,0,1
Minorminer,Zephyr,Complete,180,2,1003.6565500429988,4281,38,0
Minorminer,Zephyr,Complete,150,1,982.8088894840002,2537,27,0
Minorminer,Zephyr,Complete,230,1,1043.5022572010002,0,0,1
Minorminer,Zephyr,Complete,185,0,1000.891359760999,5863,56,0
Minorminer,Zephyr,Complete,150,2,999.8258893969996,2531,26,0
Minorminer,Zephyr,Complete,155,0,598.9050599039983,3220,34,0
Minorminer,Zephyr,Complete,230,2,1033.0447150020009,0,0,1
Minorminer,Zephyr,Complete,185,1,939.6673895659987,4704,42,0
Minorminer,Zephyr,Complete,155,1,1011.953481812001,2741,28,0
Minorminer,Zephyr,Complete,185,2,999.1915546179989,4126,35,0
Minorminer,Zephyr,Complete,235,0,1037.4225513809997,0,0,1
Minorminer,Zephyr,Complete,155,2,1004.4392501509992,2609,28,0
Minorminer,Zephyr,Complete,190,0,1029.9712058910009,0,0,1
Minorminer,Zephyr,Complete,235,1,1030.952370506,0,0,1
Minorminer,Zephyr,Complete,160,0,947.4810013560018,3095,32,0
Minorminer,Zephyr,Complete,190,1,1015.3955188890013,4884,41,0
Minorminer,Zephyr,Complete,235,2,1041.9374429530017,0,0,1
Minorminer,Zephyr,Complete,160,1,603.1660366929973,2932,27,0
Minorminer,Zephyr,Complete,190,2,1013.1811522759999,4665,39,0
Minorminer,Zephyr,Complete,240,0,1049.9734012080007,0,0,1
Minorminer,Zephyr,Complete,160,2,1014.8441776030013,3027,29,0
Minorminer,Zephyr,Complete,195,0,1041.6709564800003,0,0,1
Minorminer,Zephyr,Complete,240,1,1047.1766049469989,0,0,1
Minorminer,Zephyr,Complete,275,0,1047.5389574800029,0,0,1
Minorminer,Zephyr,Complete,195,1,1015.047409914001,4616,40,0
Minorminer,Zephyr,Complete,240,2,1046.4536679859993,0,0,1
Minorminer,Zephyr,Complete,275,1,1048.5394124679988,0,0,1
Minorminer,Zephyr,Complete,195,2,1026.917937967999,0,0,1
Minorminer,Zephyr,Complete,245,0,1038.4325775149991,0,0,1
Minorminer,Zephyr,Complete,275,2,1074.7489546889992,0,0,1
Minorminer,Zephyr,Complete,200,0,1042.6521174090012,0,0,1
Minorminer,Zephyr,Complete,245,1,1049.4799314100019,0,0,1
Minorminer,Zephyr,Complete,280,0,1089.878699511999,0,0,1
Minorminer,Zephyr,Complete,200,1,1040.0552376150008,0,0,1
Minorminer,Zephyr,Complete,245,2,1016.0584129160015,0,0,1
Minorminer,Zephyr,Complete,280,1,1010.8572527739998,0,0,1
Minorminer,Zephyr,Complete,200,2,1033.1509031899986,0,0,1
Minorminer,Zephyr,Complete,250,0,1038.6981296560007,0,0,1
Minorminer,Zephyr,Complete,280,2,1047.5502170360014,0,0,1
Minorminer,Zephyr,Complete,205,0,1029.8152020439993,0,0,1
Minorminer,Zephyr,Complete,250,1,1043.9460566769994,0,0,1
Minorminer,Zephyr,Complete,285,0,1079.0432471899985,0,0,1
Minorminer,Zephyr,Complete,205,1,1025.1346444209994,0,0,1
Minorminer,Zephyr,Complete,250,2,1055.5549386439998,0,0,1
Minorminer,Zephyr,Complete,285,1,1070.3192942819987,0,0,1
Minorminer,Zephyr,Complete,205,2,1036.4819893349995,0,0,1
Minorminer,Zephyr,Complete,255,0,1060.081800449003,0,0,1
Minorminer,Zephyr,Complete,285,2,1050.3806596670001,0,0,1
Minorminer,Zephyr,Complete,210,0,1027.7603912619998,0,0,1
Minorminer,Zephyr,Complete,255,1,1021.6261131959982,0,0,1
Minorminer,Zephyr,Complete,290,0,1054.0034123190017,0,0,1
Minorminer,Zephyr,Complete,210,1,1031.822337376998,0,0,1
Minorminer,Zephyr,Complete,255,2,1035.066647992,0,0,1
Minorminer,Zephyr,Complete,290,1,1052.3234003049984,0,0,1
Minorminer,Zephyr,Complete,210,2,1033.185710974998,0,0,1
Minorminer,Zephyr,Complete,260,0,1059.4658112889992,0,0,1
Minorminer,Zephyr,Complete,290,2,1052.0048155269978,0,0,1
Minorminer,Zephyr,Complete,215,0,1031.347687370002,0,0,1
Minorminer,Zephyr,Complete,260,1,1066.2974532359985,0,0,1
Minorminer,Zephyr,Complete,295,0,1027.501477619,0,0,1
Minorminer,Zephyr,Complete,215,1,1040.5254609760013,0,0,1
Minorminer,Zephyr,Complete,260,2,1011.0603496809999,0,0,1
Minorminer,Zephyr,Complete,295,1,1068.188606544998,0,0,1
Minorminer,Zephyr,Complete,215,2,1032.0370557929964,0,0,1
Minorminer,Zephyr,Complete,265,0,1056.3572552900005,0,0,1
Minorminer,Zephyr,Complete,295,2,1065.5181936740046,0,0,1
Minorminer,Zephyr,Complete,330,0,1074.8838200679966,0,0,1
Minorminer,Zephyr,Complete,265,1,1053.1757928890001,0,0,1
Minorminer,Zephyr,Complete,300,0,1071.8144263729992,0,0,1
Minorminer,Zephyr,Complete,330,1,1088.1682930940005,0,0,1
Minorminer,Zephyr,Complete,265,2,1046.7365996340013,0,0,1
Minorminer,Zephyr,Complete,300,1,1075.1155683969992,0,0,1
Minorminer,Zephyr,Complete,330,2,1097.814505938004,0,0,1
Minorminer,Zephyr,Complete,270,0,1046.319396643994,0,0,1
Minorminer,Zephyr,Complete,300,2,1085.0732329489983,0,0,1
Minorminer,Zephyr,Complete,335,0,1065.2008951740063,0,0,1
Minorminer,Zephyr,Complete,270,1,1061.4965629330036,0,0,1
Minorminer,Zephyr,Complete,305,0,1059.3869618880053,0,0,1
Minorminer,Zephyr,Complete,335,1,1080.7606716480004,0,0,1
Minorminer,Zephyr,Complete,270,2,1068.357944753996,0,0,1
Minorminer,Zephyr,Complete,305,1,1015.9752481340038,0,0,1
Minorminer,Zephyr,Complete,335,2,1086.3399524699998,0,0,1
Minorminer,Zephyr,Complete,385,0,1177.2060785229987,0,0,1
Minorminer,Zephyr,Complete,305,2,1031.6202205310037,0,0,1
Minorminer,Zephyr,Complete,340,0,1083.7764009449966,0,0,1
Minorminer,Zephyr,Complete,385,1,1206.7538032219963,0,0,1
Minorminer,Zephyr,Complete,310,0,1028.9229753140025,0,0,1
Minorminer,Zephyr,Complete,340,1,1081.0876571850022,0,0,1
Minorminer,Zephyr,Complete,385,2,1121.5116656330065,0,0,1
Minorminer,Zephyr,Complete,310,1,1073.633875735999,0,0,1
Minorminer,Zephyr,Complete,340,2,1093.9896884970003,0,0,1
Minorminer,Zephyr,Complete,390,0,1193.5958040979967,0,0,1
Minorminer,Zephyr,Complete,310,2,1055.5705618290012,0,0,1
Minorminer,Zephyr,Complete,345,0,1071.3697944580053,0,0,1
Minorminer,Zephyr,Complete,315,0,1050.4182274560007,0,0,1
Minorminer,Zephyr,Complete,390,1,1137.1670908260057,0,0,1
Minorminer,Zephyr,Complete,345,1,1109.5889078779946,0,0,1
Minorminer,Zephyr,Complete,315,1,1074.0373468140024,0,0,1
Minorminer,Zephyr,Complete,390,2,1233.4972393989956,0,0,1
Minorminer,Zephyr,Complete,345,2,1095.4925332540006,0,0,1
Minorminer,Zephyr,Complete,315,2,1073.2222411930052,0,0,1
Minorminer,Zephyr,Complete,395,0,1031.885188170003,0,0,1
Minorminer,Zephyr,Complete,350,0,1073.5237746450002,0,0,1
Minorminer,Zephyr,Complete,320,0,1076.9757072930006,0,0,1
Minorminer,Zephyr,Complete,395,1,1062.1949018640007,0,0,1
Minorminer,Zephyr,Complete,350,1,1074.5319292890053,0,0,1
Minorminer,Zephyr,Complete,320,1,1086.6691772279955,0,0,1
