Algorithm,Topology,Node Yield,Graph Type,Degree,Run #,Time (s),Qubits,Maxchain Size,Fail/No Fail
Minorminer,Zephyr,0.80,Complete,60,3,53.46984100000009,567,14,0.0
Minorminer,Zephyr,0.80,Complete,60,4,71.91189599999962,598,15,0.0
Minorminer,Zephyr,0.80,Complete,60,5,69.36564699999963,540,14,0.0
Minorminer,Zephyr,0.80,Complete,60,6,58.43115800000032,625,15,0.0
Minorminer,Zephyr,0.80,Complete,60,7,58.38579699999991,616,15,0.0
Minorminer,Zephyr,0.80,Complete,60,8,102.20180100000016,539,14,0.0
Minorminer,Zephyr,0.80,Complete,60,9,96.75431200000003,544,13,0.0
Layout Aware [Migration],Zephyr,0.80,Complete,60,0,77.15826600000037,560,13,0.0
Layout Aware [Migration],Zephyr,0.80,Complete,60,1,147.59216399999968,592,14,0.0
Layout Aware [Migration],Zephyr,0.80,Complete,60,2,80.3040090000004,639,17,0.0
Layout Aware [Migration],Zephyr,0.80,Complete,60,3,76.66213299999981,502,12,0.0
Layout Aware [Migration],Zephyr,0.80,Complete,60,4,57.98101100000076,667,17,0.0
Layout Aware [Migration],Zephyr,0.80,Complete,60,5,63.18591600000036,533,13,0.0
Layout Aware [Migration],Zephyr,0.80,Complete,60,6,67.57662700000037,636,15,0.0
Layout Aware [Migration],Zephyr,0.80,Complete,60,7,39.74782099999993,599,15,0.0
Layout Aware [Migration],Zephyr,0.80,Complete,60,8,49.84594599999946,593,16,0.0
Layout Aware [Migration],Zephyr,0.80,Complete,60,9,67.70145500000035,593,14,0.0
Layout Aware [No Migration],Zephyr,0.80,Complete,60,0,92.43560300000036,621,15,0.0
Layout Aware [No Migration],Zephyr,0.80,Complete,60,1,65.5103709999994,611,16,0.0
Layout Aware [No Migration],Zephyr,0.80,Complete,60,2,59.751946000000316,576,14,0.0
Layout Aware [No Migration],Zephyr,0.80,Complete,60,3,104.05698200000006,552,14,0.0
Layout Aware [No Migration],Zephyr,0.80,Complete,60,4,45.8370730000006,588,15,0.0
Layout Aware [No Migration],Zephyr,0.80,Complete,60,5,90.82255600000008,587,15,0.0
Layout Aware [No Migration],Zephyr,0.80,Complete,60,6,67.46566800000073,562,13,0.0
Layout Aware [No Migration],Zephyr,0.80,Complete,60,7,99.15910200000053,553,14,0.0
Layout Aware [No Migration],Zephyr,0.80,Complete,60,8,91.52650499999982,521,13,0.0
Layout Aware [No Migration],Zephyr,0.80,Complete,60,9,54.61744599999929,618,17,0.0
Minorminer,Zephyr,0.70,Complete,60,0,165.8130629999996,781,21,0.0
Minorminer,Zephyr,0.70,Complete,60,1,59.02544300000045,909,24,0.0
Minorminer,Zephyr,0.70,Complete,60,2,106.37098200000037,726,18,0.0
Minorminer,Zephyr,0.70,Complete,60,3,121.64977399999952,785,21,0.0
Minorminer,Zephyr,0.70,Complete,60,4,91.39805299999898,778,19,0.0
Minorminer,Zephyr,0.70,Complete,60,5,132.60860299999877,795,19,0.0
Minorminer,Zephyr,0.70,Complete,60,6,138.809068999999,709,17,0.0
Minorminer,Zephyr,0.70,Complete,60,7,65.77036500000031,797,19,0.0
Minorminer,Zephyr,0.70,Complete,60,8,81.36000000000058,765,20,0.0
Minorminer,Zephyr,0.70,Complete,60,9,173.96217799999977,750,18,0.0
Layout Aware [Migration],Zephyr,0.70,Complete,60,0,94.44394099999954,932,24,0.0
Layout Aware [Migration],Zephyr,0.70,Complete,60,1,65.51608900000065,1026,27,0.0
Layout Aware [Migration],Zephyr,0.70,Complete,60,2,243.79327899999953,761,17,0.0
Layout Aware [Migration],Zephyr,0.70,Complete,60,3,146.19402199999968,718,17,0.0
Layout Aware [Migration],Zephyr,0.70,Complete,60,4,152.8392160000003,699,17,0.0
Layout Aware [Migration],Zephyr,0.70,Complete,60,5,118.00223100000039,704,16,0.0
Layout Aware [Migration],Zephyr,0.70,Complete,60,6,164.7582820000007,763,19,0.0
Layout Aware [Migration],Zephyr,0.70,Complete,60,7,169.64214100000027,822,18,0.0
Layout Aware [Migration],Zephyr,0.70,Complete,60,8,65.1548729999995,890,23,0.0
Layout Aware [Migration],Zephyr,0.70,Complete,60,9,137.495046,729,19,0.0
Layout Aware [No Migration],Zephyr,0.70,Complete,60,0,155.76211499999954,733,18,0.0
Layout Aware [No Migration],Zephyr,0.70,Complete,60,1,100.78729200000089,792,21,0.0
Layout Aware [No Migration],Zephyr,0.70,Complete,60,2,109.11255800000072,751,18,0.0
Layout Aware [No Migration],Zephyr,0.70,Complete,60,3,121.14236100000016,746,19,0.0
Layout Aware [No Migration],Zephyr,0.70,Complete,60,4,101.45344800000021,821,19,0.0
Layout Aware [No Migration],Zephyr,0.70,Complete,60,5,90.00749200000064,742,19,0.0
Layout Aware [No Migration],Zephyr,0.70,Complete,60,6,164.84732199999962,801,19,0.0
Layout Aware [No Migration],Zephyr,0.70,Complete,60,7,164.00811000000067,820,19,0.0
Layout Aware [No Migration],Zephyr,0.70,Complete,60,8,133.03145600000062,827,20,0.0
Layout Aware [No Migration],Zephyr,0.70,Complete,60,9,102.24060800000007,799,20,0.0
Minorminer,Zephyr,0.60,Complete,60,0,90.42365099999915,1258,31,0.0
Minorminer,Zephyr,0.60,Complete,60,1,117.58066800000051,1305,33,0.0
Minorminer,Zephyr,0.60,Complete,60,2,203.21572099999867,932,22,0.0
Minorminer,Zephyr,0.60,Complete,60,3,59.217626000001474,1265,31,0.0
Minorminer,Zephyr,0.60,Complete,60,4,188.42147000000114,1158,27,0.0
Minorminer,Zephyr,0.60,Complete,60,5,131.60741899999994,1088,27,0.0
Minorminer,Zephyr,0.60,Complete,60,6,143.76625799999965,1280,32,0.0
Minorminer,Zephyr,0.60,Complete,60,7,131.76954000000114,1271,31,0.0
Minorminer,Zephyr,0.60,Complete,60,8,137.52127899999869,1028,24,0.0
Minorminer,Zephyr,0.60,Complete,60,9,153.51330699999744,1274,31,0.0
