Algorithm,Topology,Graph Type,Degree,# of Runs,Avg Time (s),Avg Qubits,Avg Maxchain Size,Avg Fail/No Fail
Busclique,Pegasus,Complete,50,4,0.053053,6,296,0
Busclique,Pegasus,Complete,51,4,0.049448,6,302,0
Busclique,Pegasus,Complete,52,4,0.053173,6,308,0
Busclique,Pegasus,Complete,53,4,0.048089,6,314,0
Busclique,Pegasus,Complete,54,4,0.049187,6,376,0
Busclique,Pegasus,Complete,55,4,0.05879,7,382,0
Busclique,Pegasus,Complete,56,4,0.047667,7,389,0
Busclique,Pegasus,Complete,57,4,0.050371,7,396,0
Busclique,Pegasus,Complete,58,4,0.051191,7,402,0
Busclique,Pegasus,Complete,59,4,0.067433,7,408,0
Busclique,Zephyr,Complete,0,4,0.09652425,0,0,0
Busclique,Zephyr,Complete,1,4,0.0931365,1,1,1
Busclique,Zephyr,Complete,2,4,0.09575825,1,2,0
Busclique,Zephyr,Complete,3,4,0.089307,1,3,0
Busclique,Zephyr,Complete,4,4,0.09172575,1,4,0
Busclique,Zephyr,Complete,5,4,0.0933505,2,10,0
Busclique,Zephyr,Complete,6,4,0.091506,2,12,0
Busclique,Zephyr,Complete,7,4,0.0919515,2,14,0
Busclique,Zephyr,Complete,8,4,0.08843375,2,16,0
Busclique,Zephyr,Complete,9,4,0.092204,3,27,0
Busclique,Zephyr,Complete,10,4,0.0925005,3,30,0
Busclique,Zephyr,Complete,11,4,0.09049975,3,33,0
Busclique,Zephyr,Complete,12,4,0.09249175,3,36,0
Busclique,Zephyr,Complete,13,4,0.09191075,3,39,0
Busclique,Zephyr,Complete,14,4,0.0902625,3,42,0
Busclique,Zephyr,Complete,15,4,0.09215175,3,45,0
Busclique,Zephyr,Complete,16,4,0.09052575,3,48,0
Busclique,Zephyr,Complete,17,4,0.09413475,3,51,0
Busclique,Zephyr,Complete,18,4,0.09109475,3,54,0
Busclique,Zephyr,Complete,19,4,0.09100125,3,57,0
Busclique,Zephyr,Complete,20,4,0.0892225,3,60,0
Busclique,Zephyr,Complete,21,4,0.0911685,3,63,0
Busclique,Zephyr,Complete,22,4,0.0928375,3,66,0
Busclique,Zephyr,Complete,23,4,0.0924015,3,69,0
Busclique,Zephyr,Complete,24,4,0.10295575,3,72,0
Busclique,Zephyr,Complete,25,4,0.09526825,4,100,0
Busclique,Zephyr,Complete,26,4,0.0910075,4,104,0
Busclique,Zephyr,Complete,27,4,0.091261,4,108,0
Busclique,Zephyr,Complete,28,4,0.091969,4,112,0
Busclique,Zephyr,Complete,29,4,0.08971675,4,116,0
Busclique,Zephyr,Complete,30,4,0.09513175,4,120,0
Busclique,Zephyr,Complete,31,4,0.0963035,4,124,0
Busclique,Zephyr,Complete,32,4,0.09753275,4,128,0
Busclique,Zephyr,Complete,33,4,0.09686425,4,132,0
Busclique,Zephyr,Complete,34,4,0.09311575,4,136,0
Busclique,Zephyr,Complete,35,4,0.0929445,4,140,0
Busclique,Zephyr,Complete,36,4,0.093173,4,144,0
Busclique,Zephyr,Complete,37,4,0.0921005,4,148,0
Busclique,Zephyr,Complete,38,4,0.09432475,4,152,0
Busclique,Zephyr,Complete,39,4,0.0913825,4,156,0
